Ano	Mês	Queimadas
1999	Janeiro	221
1999	Fevereiro	385
1999	Março	153
1999	Abril	116
1999	Maio	764
1999	Junho	2401
1999	Julho	5681
1999	Agosto	29133
1999	Setembro	24602
1999	Outubro	17826
1999	Novembro	4999
1999	Dezembro	1782
2000	Janeiro	133
2000	Fevereiro	202
2000	Março	463
2000	Abril	123
2000	Maio	1371
2000	Junho	4848
2000	Julho	2657
2000	Agosto	16813
2000	Setembro	15473
2000	Outubro	14525
2000	Novembro	6207
2000	Dezembro	3310
2001	Janeiro	228
2001	Fevereiro	733
2001	Março	1137
2001	Abril	711
2001	Maio	1283
2001	Junho	7117
2001	Julho	3715
2001	Agosto	23902
2001	Setembro	25897
2001	Outubro	19264
2001	Novembro	9054
2001	Dezembro	4402
2002	Janeiro	720
2002	Fevereiro	765
2002	Março	989
2002	Abril	761
2002	Maio	2769
2002	Junho	8794
2002	Julho	11661
2002	Agosto	53377
2002	Setembro	64827
2002	Outubro	35967
2002	Novembro	27519
2002	Dezembro	10014
2003	Janeiro	4139
2003	Fevereiro	1819
2003	Março	2208
2003	Abril	1556
2003	Maio	3539
2003	Junho	11394
2003	Julho	22480
2003	Agosto	40505
2003	Setembro	63683
2003	Outubro	33799
2003	Novembro	22282
2003	Dezembro	14866
2004	Janeiro	2356
2004	Fevereiro	958
2004	Março	1408
2004	Abril	1542
2004	Maio	5155
2004	Junho	14493
2004	Julho	24899
2004	Agosto	49930
2004	Setembro	91745
2004	Outubro	33323
2004	Novembro	31697
2004	Dezembro	18139
2005	Janeiro	4618
2005	Fevereiro	1427
2005	Março	967
2005	Abril	1343
2005	Maio	2881
2005	Junho	5177
2005	Julho	24071
2005	Agosto	73683
2005	Setembro	85108
2005	Outubro	37464
2005	Novembro	19488
2005	Dezembro	7767
2006	Janeiro	2444
2006	Fevereiro	1056
2006	Março	1095
2006	Abril	897
2006	Maio	1492
2006	Junho	4602
2006	Julho	10456
2006	Agosto	40473
2006	Setembro	60858
2006	Outubro	22717
2006	Novembro	20800
2006	Dezembro	9218
2007	Janeiro	2269
2007	Fevereiro	1879
2007	Março	1896
2007	Abril	1254
2007	Maio	2718
2007	Junho	7552
2007	Julho	11785
2007	Agosto	67774
2007	Setembro	101816
2007	Outubro	40605
2007	Novembro	17925
2007	Dezembro	5921
2008	Janeiro	1111
2008	Fevereiro	637
2008	Março	979
2008	Abril	799
2008	Maio	963
2008	Junho	2975
2008	Julho	8693
2008	Agosto	26274
2008	Setembro	34735
2008	Outubro	32389
2008	Novembro	18065
2008	Dezembro	6873
2009	Janeiro	1575
2009	Fevereiro	510
2009	Março	784
2009	Abril	610
2009	Maio	1038
2009	Junho	2055
2009	Julho	4764
2009	Agosto	13170
2009	Setembro	25876
2009	Outubro	22393
2009	Novembro	21596
2009	Dezembro	6889
2010	Janeiro	2060
2010	Fevereiro	1413
2010	Março	1636
2010	Abril	1572
2010	Maio	2529
2010	Junho	5928
2010	Julho	13228
2010	Agosto	67077
2010	Setembro	77294
2010	Outubro	21603
2010	Novembro	15105
2010	Dezembro	6329
2011	Janeiro	964
2011	Fevereiro	350
2011	Março	573
2011	Abril	819
2011	Maio	1227
2011	Junho	2930
2011	Julho	4846
2011	Agosto	12653
2011	Setembro	28347
2011	Outubro	14375
2011	Novembro	11715
2011	Dezembro	8483
2012	Janeiro	1370
2012	Fevereiro	576
2012	Março	766
2012	Abril	998
2012	Maio	1883
2012	Junho	4169
2012	Julho	8364
2012	Agosto	35263
2012	Setembro	40325
2012	Outubro	22694
2012	Novembro	14155
2012	Dezembro	6087
2013	Janeiro	1408
2013	Fevereiro	579
2013	Março	1063
2013	Abril	889
2013	Maio	1593
2013	Junho	3195
2013	Julho	5415
2013	Agosto	14780
2013	Setembro	24511
2013	Outubro	14873
2013	Novembro	8057
2013	Dezembro	8658
2014	Janeiro	1820
2014	Fevereiro	585
2014	Março	1216
2014	Abril	1138
2014	Maio	1687
2014	Junho	4213
2014	Julho	6427
2014	Agosto	29861
2014	Setembro	28729
2014	Outubro	21786
2014	Novembro	13923
2014	Dezembro	8443
2015	Janeiro	2611
2015	Fevereiro	1251
2015	Março	858
2015	Abril	1153
2015	Maio	1202
2015	Junho	3610
2015	Julho	5808
2015	Agosto	28589
2015	Setembro	40452
2015	Outubro	29112
2015	Novembro	19055
2015	Dezembro	12665
2016	Janeiro	4868
2016	Fevereiro	2188
2016	Março	2497
2016	Abril	2049
2016	Maio	2061
2016	Junho	3831
2016	Julho	12050
2016	Agosto	27391
2016	Setembro	28295
2016	Outubro	19771
2016	Novembro	13529
2016	Dezembro	5516
2017	Janeiro	1056
2017	Fevereiro	522
2017	Março	1121
2017	Abril	1100
2017	Maio	1792
2017	Junho	3615
2017	Julho	11779
2017	Agosto	27712
2017	Setembro	55994
2017	Outubro	20464
2017	Novembro	15711
2017	Dezembro	8545
2018	Janeiro	1720
2018	Fevereiro	992
2018	Março	1764
2018	Abril	828
2018	Maio	1909
2018	Junho	3846
2018	Julho	7572
2018	Agosto	15001
2018	Setembro	31140
2018	Outubro	13322
2018	Novembro	9948
2018	Dezembro	2366
2019	Janeiro	1852
2019	Fevereiro	1675
2019	Março	3943
2019	Abril	2193
2019	Maio	2141
2019	Junho	4838
2019	Julho	8567
2019	Agosto	39176
2019	Setembro	32602
2019	Outubro	11848
2019	Novembro	12948
2019	Dezembro	4306
2020	Janeiro	1702
2020	Fevereiro	1604
2020	Março	2294
2020	Abril	1556
2020	Maio	1798
2020	Junho	4596
2020	Julho	10639
2020	Agosto	39253
2020	Setembro	50631
2020	Outubro	24007
2020	Novembro	8367
2020	Dezembro	4336
