Ano	Mês	Queimadas
1999	Janeiro	160
1999	Fevereiro	358
1999	Março	130
1999	Abril	70
1999	Maio	449
1999	Junho	1439
1999	Julho	3675
1999	Agosto	21525
1999	Setembro	16106
1999	Outubro	12794
1999	Novembro	4449
1999	Dezembro	1703
2000	Janeiro	87
2000	Fevereiro	182
2000	Março	405
2000	Abril	92
2000	Maio	930
2000	Junho	3211
2000	Julho	1510
2000	Agosto	12791
2000	Setembro	10062
2000	Outubro	10226
2000	Novembro	5497
2000	Dezembro	3175
2001	Janeiro	165
2001	Fevereiro	699
2001	Março	1134
2001	Abril	617
2001	Maio	916
2001	Junho	4227
2001	Julho	1816
2001	Agosto	17679
2001	Setembro	15528
2001	Outubro	14292
2001	Novembro	8346
2001	Dezembro	4256
2002	Janeiro	590
2002	Fevereiro	667
2002	Março	901
2002	Abril	405
2002	Maio	1490
2002	Junho	5702
2002	Julho	7529
2002	Agosto	43484
2002	Setembro	48549
2002	Outubro	27110
2002	Novembro	23660
2002	Dezembro	9174
2003	Janeiro	3704
2003	Fevereiro	1573
2003	Março	1997
2003	Abril	1038
2003	Maio	1983
2003	Junho	6848
2003	Julho	15918
2003	Agosto	34765
2003	Setembro	47789
2003	Outubro	25341
2003	Novembro	19631
2003	Dezembro	13813
2004	Janeiro	2178
2004	Fevereiro	805
2004	Março	1035
2004	Abril	1012
2004	Maio	3131
2004	Junho	9179
2004	Julho	19179
2004	Agosto	43320
2004	Setembro	71522
2004	Outubro	23928
2004	Novembro	26424
2004	Dezembro	16924
2005	Janeiro	4314
2005	Fevereiro	1048
2005	Março	758
2005	Abril	832
2005	Maio	1746
2005	Junho	2954
2005	Julho	19364
2005	Agosto	63764
2005	Setembro	68560
2005	Outubro	26624
2005	Novembro	16790
2005	Dezembro	6966
2006	Janeiro	1973
2006	Fevereiro	879
2006	Março	903
2006	Abril	709
2006	Maio	843
2006	Junho	2522
2006	Julho	6995
2006	Agosto	34208
2006	Setembro	51028
2006	Outubro	18309
2006	Novembro	17474
2006	Dezembro	8579
2007	Janeiro	1918
2007	Fevereiro	1761
2007	Março	1431
2007	Abril	760
2007	Maio	1176
2007	Junho	3519
2007	Julho	6196
2007	Agosto	46385
2007	Setembro	73141
2007	Outubro	28731
2007	Novembro	16025
2007	Dezembro	5437
2008	Janeiro	938
2008	Fevereiro	527
2008	Março	860
2008	Abril	569
2008	Maio	383
2008	Junho	1248
2008	Julho	5901
2008	Agosto	21445
2008	Setembro	26469
2008	Outubro	23518
2008	Novembro	15450
2008	Dezembro	6145
2009	Janeiro	1095
2009	Fevereiro	354
2009	Março	584
2009	Abril	435
2009	Maio	673
2009	Junho	1023
2009	Julho	2327
2009	Agosto	9732
2009	Setembro	20527
2009	Outubro	19323
2009	Novembro	19104
2009	Dezembro	6505
2010	Janeiro	1697
2010	Fevereiro	1147
2010	Março	1176
2010	Abril	633
2010	Maio	1026
2010	Junho	1911
2010	Julho	5868
2010	Agosto	45018
2010	Setembro	43933
2010	Outubro	14798
2010	Novembro	12167
2010	Dezembro	5240
2011	Janeiro	771
2011	Fevereiro	271
2011	Março	427
2011	Abril	465
2011	Maio	528
2011	Junho	1083
2011	Julho	2445
2011	Agosto	8002
2011	Setembro	16987
2011	Outubro	9760
2011	Novembro	9815
2011	Dezembro	7632
2012	Janeiro	1203
2012	Fevereiro	438
2012	Março	484
2012	Abril	473
2012	Maio	855
2012	Junho	1875
2012	Julho	3095
2012	Agosto	20687
2012	Setembro	24067
2012	Outubro	14814
2012	Novembro	13259
2012	Dezembro	5469
2013	Janeiro	1181
2013	Fevereiro	374
2013	Março	738
2013	Abril	518
2013	Maio	796
2013	Junho	1450
2013	Julho	2531
2013	Agosto	9444
2013	Setembro	16786
2013	Outubro	10242
2013	Novembro	6615
2013	Dezembro	8013
2014	Janeiro	1573
2014	Fevereiro	473
2014	Março	1010
2014	Abril	632
2014	Maio	673
2014	Junho	1628
2014	Julho	2766
2014	Agosto	20113
2014	Setembro	20522
2014	Outubro	13222
2014	Novembro	12169
2014	Dezembro	7773
2015	Janeiro	2042
2015	Fevereiro	1047
2015	Março	572
2015	Abril	762
2015	Maio	407
2015	Junho	1287
2015	Julho	2817
2015	Agosto	20471
2015	Setembro	29326
2015	Outubro	19469
2015	Novembro	16935
2015	Dezembro	11303
2016	Janeiro	4657
2016	Fevereiro	1559
2016	Março	2024
2016	Abril	1075
2016	Maio	895
2016	Junho	1663
2016	Julho	6120
2016	Agosto	18340
2016	Setembro	20460
2016	Outubro	14234
2016	Novembro	11610
2016	Dezembro	5124
2017	Janeiro	796
2017	Fevereiro	379
2017	Março	736
2017	Abril	618
2017	Maio	805
2017	Junho	1759
2017	Julho	7986
2017	Agosto	21244
2017	Setembro	36569
2017	Outubro	14457
2017	Novembro	14105
2017	Dezembro	7985
2018	Janeiro	1444
2018	Fevereiro	888
2018	Março	1359
2018	Abril	513
2018	Maio	772
2018	Junho	1980
2018	Julho	4788
2018	Agosto	10421
2018	Setembro	24803
2018	Outubro	10654
2018	Novembro	8881
2018	Dezembro	1842
2019	Janeiro	1419
2019	Fevereiro	1368
2019	Março	3383
2019	Abril	1702
2019	Maio	854
2019	Junho	1880
2019	Julho	5318
2019	Agosto	30900
2019	Setembro	19925
2019	Outubro	7855
2019	Novembro	11297
2019	Dezembro	3275
2020	Janeiro	1200
2020	Fevereiro	1196
2020	Março	1641
2020	Abril	789
2020	Maio	829
2020	Junho	2248
2020	Julho	6803
2020	Agosto	29307
2020	Setembro	32017
2020	Outubro	17326
2020	Novembro	6321
2020	Dezembro	3484
